cid,formula,smile,fingerprint,topological,weight,heavy_atom,type,label
2734648,C11H16BNO2,B1(OC(C(O1)(C)C)(C)C)C2=CC=NC=C2,00000371E27230000000000000000000000000000001200000002C0000000000000000018000281E00000000000C44C192043E8092081000A0003067440082802031022008D820386498092062C09191842008608000C8C8061000000880000000000000000000000000000000000000000000,31.4,205.1274089,15.0,['Other'],0
21870694,C6H4BF3O3,B(O)(O)OC1=CC(=C(C(=C1)F)F)F,0000037182603180000000000000000000000000000000000000300000000000000000010000081B0000080000080480900830068000000080002042000002000020200000880006088808262280111280300024C0110888078040000000000000000000000000000000000000000000000000,49.7,192.0205586,13.0,['Other'],0
153950669,C6H5BI2O2,B(C1=CC(=C(C=C1)I)I)(O)O,00000371826030000003000000000000000000000000000000003000000000000000000100002818002008000008008210003000800000008000204200000200002000000888000000880820228011108020002080000888070000000000000000000000000000000000000000000000000000,40.5,373.8472,11.0,['LIB'],1
78759343,C7H12BNO2,B(C1=CC(=CC=C1)N)(O)O.C,00000371C2623000000000000000000000000000000000000000300000000000000000010000281C0010080000080881100032C08040000080002442400082000020020008880000648808202280919180200060900008C8071000000000000000000000000000000000000000000000000000,66.5,153.0961088,11.0,['Other'],0
67305726,C8H8BFO3,B(O)(O)O/C=C/C1=CC=C(C=C1)F,00000371C2703100000000000000000000000000000000000000300000000000000000010000081B00000800000C00A0980A3000800000008002204200000200002020000888000000880820228011108020002080000888070080000E00000000000000000000000000000000000000000000,49.7,182.0550524,13.0,['LIB'],0
83329,BO4P,B12OP(=O)(O1)O2,00000371020038020000000000000000000000004890000000000000000000000000000000000800000000200000000000000000000000100040000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,44.8,105.9627256,6.0,['Other'],0
11254165,C17H21BO2,B1(OC(C(O1)(C)C)(C)C)CC2=CC=CC3=CC=CC=C32,00000371E2783000000000000000000000000000000120000000306000000000000000C15000281A00000000000C448098003200C00000008002204200000200002000000888000000880920228011108020002080000888070080C00E80000200001000000000040000200000000000000000,18.5,268.1634601,20.0,['LMB'],1
2734353,C8H11BO2S,B(C1=CC=C(C=C1)SCC)(O)O,00000371C2703000400000000000000000000000000000000000300000000000000000010000281804000800000800845000B20180000008800020420000020000200810088818000088082022A011108020002080002888070000000000000000000000000000000000000000000000000000,65.8,182.0572809,12.0,['LIB'],1
2777204,C7H6BF3O3,B(C1=CC=CC=C1OC(F)(F)F)(O)O,0000037182603180000000000000000000000000000000000000300000000000000000010000281B000008000008048090103006800004008000204200000208002020000888000608880C262284311A80302024C01108A8078040000000000000000000000000000000000000000000000000,49.7,206.0362087,14.0,"['LIB', 'LMB']",1
10633712,C12H16BClO2,B1(OC(C(O1)(C)C)(C)C)C2=CC=C(C=C2)Cl,00000371E2703000040000000000000000000000000120000000300000000000000000010000281A02000000000C468090203200800000008000204200000200002005000888000002880920228113108020002080000888070000000880000000000000000000000000000000000000000000,18.5,238.0931876,16.0,['LMB'],1
2773537,C7H10BNO4S,B(C1=CC=C(C=C1)NS(=O)(=O)C)(O)O,00000371C2623800400000000000000000000000000000000000300000000000000000010000281C04104800000808811000B2C08040000280002442407082000020020008880000648808202280919180200060900008C8071000000000000000000000000000000000000000000000000000,95.0,215.0423591,14.0,['LIB'],1
2773216,C6H8BNO2,B(C1=CC=CC=C1N)(O)O,00000371C2623000000000000000000000000000000000000000300000000000000000010000281C0010080000080881100030C08040000080002442400082000020020008880000648808202280919180200060900008C8071000000000000000000000000000000000000000000000000000,66.5,137.0648087,10.0,['LIB'],0
5355539,C3H7BO2,B(/C=C\C)(O)O,00000371824030000000000000000000000000000000000000000000000000000000000000002818000008000008008000000200000000008000204200000000000000000800000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000,40.5,86.0539096,6.0,['Other'],0
2734336,C6H5BF2O2,B(C1=C(C=CC=C1F)F)(O)O,00000371826031800000000000000000000000000000000000003000000000000000000100002819000008000008008010083000800000008000204200000200002000000888000000880820228011108020002080000888070000000000000000000000000000000000000000000000000000,40.5,158.0350659,11.0,"['MIB', 'Other', 'LIB']",0
87250990,C12H27BO3Si3,B(O[Si](C)(C)C=C)(O[Si](C)(C)C=C)O[Si](C)(C)C=C,00000371E270300C0000000000000000000000000000000000000000000000000000000000000818100000400000008020004200000000018000000200000000000000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,27.7,314.1361045,19.0,"['LIB', 'Other']",1
22237829,C6H5BF2O3,B(O)(O)OC1=C(C=C(C=C1)F)F,0000037182603180000000000000000000000000000000000000300000000000000000010000081B0000080000080480900830068000000080002042000002000020200008880006088808262280111280300024C0110888078040000000000000000000000000000000000000000000000000,49.7,174.0299805,12.0,['Other'],0
44755178,C12H17BClNO2,B1(OC(C(O1)(C)C)(C)C)C2=CC(=C(N=C2)Cl)C,00000371E27230000400000000000000000000000001200000002C0000000000000000018000281E02000000000C46C19A243E8092081000A0023067440082802031042000D8202846980920E2C19391842008608000C8C8061000000C80000000000000000000000000000000000000000000,31.4,253.1040866,17.0,['LIB'],1
22283517,C9H13BO3,B(O)(O)OC1=CC=CC(=C1)C(C)C,00000371C2703000000000000000000000000000000000000000300000000000000000010000081A00000800000D0480980032068000000080022042000002000020200008880006088808262280111280300024C01108880780C0F00E80000100000000000000020000000000000000000000,49.7,180.0957744,13.0,['LIB'],1
123279,CB4,B12B3C14B2B43,00000371038000000000000000000000000012244890000000000000000000000000000000006000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0,56.0372207,5.0,"['MIB', 'LMB', 'LIB', 'Other', 'SIB']",1
10955110,C7H14BBrO2,B1(OC(C(O1)(C)C)(C)C)CBr,00000371C2603000001000000000000000000000000120000000000000000000000000000000281A00400000004C448080000200000000000000000000000000000000000000000000000100000000000000000000000000000000000880000000000000000000000000000000000000000000,18.5,220.02702,11.0,['LMB'],1
140062100,C9H8BF3O3,B(O)(O)O/C=C/C1=CC=C(C=C1)C(F)(F)F,00000371C2703180000000000000000000000000000000000000300000000000000000010000081B00000800000C00A098123000800000008002204200000200002020000888000000880820228011108020002080000888070080000E40000000000000008000000000000000000000000000,49.7,232.0518588,16.0,['LIB'],0
2773334,C7H8BClO2,B(C1=C(C=C(C=C1)C)Cl)(O)O,00000371C2603000040000000000000000000000000000000000300000000000000000010000281802000800000C028018203200800000008002204200000200002005000888000002880820228113108020002080000888070080000E00000020000000000000004000000000000000000000,40.5,170.0305874,11.0,['LIB'],0
2734315,C12H11BO2,B(C1=CC(=CC=C1)C2=CC=CC=C2)(O)O,00000371C2703000000000000000000000000000000000000000306000000000000000014000281800000800000C008018003000800000008002204200000200002000000888000000880820228011108020002080000888070080C00E80000000000000000000000000000000000000000000,40.5,198.0852098,15.0,['MIB'],0
3864964,C13H19BO2,B1(OC(C(O1)(C)C)(C)C)CC2=CC=CC=C2,00000371E2703000000000000000000000000000000120000000300000000000000000010000281A00000000000C448098003200800000008002204200000200002000000888000000880920228011108020002080000888070080000E80000000000000000000000000000000000000000000,18.5,218.14781,16.0,"['LIB', 'LMB']",1
2734388,C7H6BF3O2,B(C1=CC(=CC=C1)C(F)(F)F)(O)O,0000037182603180000000000000000000000000000000000000300000000000000000010000281900000800000C008018103000800000008002204200000200002000000888000000880820228011108020002080000888070080000E00000000000000000000000000000000000000000000,40.5,190.0412941,13.0,['Other'],0
2773315,C7H6BNO6,B(C1=CC(=CC(=C1)[N+](=O)[O-])C(=O)O)(O)O,0000037182623800000000000000000000000000000000000000300000000000000000010000281E00040800000C0881980030C880104200890224D24B00820000240200208801006CCA08263280959180710064C00108D987BCC8208E00000040000000000000008000000000000000000000,124.0,211.0288171,15.0,['LIB'],0
46856373,C9H18BNO4,B([C@@H]1CCCN1C(=O)OC(C)(C)C)(O)O,00000371E2723800000000000000000000000000000160000000000000000000000000000000281E00000800000C44C180040208030004000800000018000000000000000000000800000000000080000C00000006008000000000000000000000000000000000000000000000000000000000,70.0,215.1328882,15.0,['LIB'],1
78020,C9H27BO3Si3,B(O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C,00000371E270300C0000000000000000000000000000000000000000000000000000000000000810100000400000000000004200000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,27.7,278.1361045,16.0,"['MIB', 'LMB', 'LIB', 'ZIB', 'SIB', 'Other']",1
6918572,C9H19BN2O3,B([C@@H]1CCCN1C(=O)[C@H](C(C)C)N)(O)O,00000371E2733000000000000000000000000000000160000000000000000000000000000000281E00100800000D28C180040200034000000800011010000000000000000000818800000040100080001400000016008000000000000800000000000000000000000000000000000000000000,86.8,214.1488726,15.0,"['Other', 'LIB']",1
2734351,C8H11BO3,B(C1=CC=C(C=C1)OCC)(O)O,00000371C2703000000000000000000000000000000000000000300000000000000000010000281A00000800000804A090023206800004008000204200000208002020000888000608880C262284311A823820A4C01108A8078040000000000000000000000000000000000000000000000000,49.7,166.0801244,12.0,['Other'],0
591073,C7H7BO3,B(C1=CC=C(C=C1)C=O)(O)O,0000037182603000000000000000000000000000000000000000300000000000000000010000281A00000800000C00A098023000800000008802285280000200002400000888010000C80820328015108021002080000889870888008E00000000000000000000000000000000000000000000,57.5,150.0488242,11.0,['LIB'],1
61766,B2O4Pb,B(=O)[O-].B(=O)[O-].[Pb+2],00000371030038000000000000000000400000000000000000000000000000000000000000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,80.3,293.97492,7.0,['Other'],0
2734395,C4H11BO2,B(CC(C)C)(O)O,00000371C2603000000000000000000000000000000000000000000000000000000000000000281800000800000D008000000200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,40.5,102.0852098,7.0,"['Other', 'LIB', 'LMB']",1
570673,C12H17BO2,B1(OC(C(O1)(C)C)(C)C)C2=CC=CC=C2,00000371E2703000000000000000000000000000000120000000300000000000000000010000281A00000000000C448090003200800000008000204200000200002000000888000000880920228011108020002080000888070000000880000000000000000000000000000000000000000000,18.5,204.1321599,15.0,"['Other', 'LMB', 'LIB']",1
2734374,C5H7BO2S,B(C1=CC=C(S1)C)(O)O,0000037182603000400000000000000000000000000120000000000000000000000000018000281804000800000800805000320180000008840020420000030080200810488818000088082022A011108000002080002888060000000000000000000000000000000000000000000000000000,68.7,142.0259808,9.0,['LIB'],1
17750237,C7H5BClF3O2,B(C1=CC(=CC(=C1)Cl)C(F)(F)F)(O)O,0000037182603180040000000000000000000000000000000000300000000000000000010000281902000800000C028018303000800000008002204200000200002005000088000002880820228113108020002080000888070080000E00000020000000000000004000000000000000000000,40.5,224.0023217,14.0,['LIB'],0
67095174,C6H6BNO5,B(O)(O)OC1=CC=CC=C1[N+](=O)[O-],0000037182623800000000000000000000000000000000000000300000000000000000010000081E0004080000080C81900030C680104000810024424300820000202200288800076C8A0A262280919380300064C05108C8079040000000000000000010000000000000002000000000000000,95.5,183.0339025,13.0,['Other'],0
141756586,C12H9BO3S,B(C1=CC2=C(C=C1)OC3=CC=CC=C3S2)(O)O,00000371C2703000400000000000000000000000000000000000346080000000000000914000281A0400080000080480D00030078000040880002042000002080020281008881A0608880C2622A4311A823820A4C01128A8078040000000000000000020000000000000004000000000000000,75.0,244.0365455,17.0,['LIB'],1
2776423,C8H7BO2S2,B(C1=CC=C(S1)C2=CC=CS2)(O)O,000003718270300060000000000000000000000000012240000000000000000000000001E000281804000800000800845000B00180000008840020420000030080200810488818000088082022A011108020002080002888070080800000000000000000000000000000000000000000000000,96.9,209.998052,13.0,['LIB'],1
139377,CH5BO2,B(C)(O)O,00000371820030000000000000000000000000000000000000000000000000000000000000002810000008000000000000000200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,40.5,60.0382596,4.0,"['Other', 'MIB', 'LIB']",1
12711,C9H21BO3,B(OCCC)(OCCC)OCCC,00000371E2703000000000000000000000000000000000000000000000000000000000000000081A00000000000800A080020200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,27.7,188.1583747,13.0,"['Other', 'SIB', 'LMB', 'LIB']",1
10887183,C3BF9O9S3,B(OS(=O)(=O)C(F)(F)F)(OS(=O)(=O)C(F)(F)F)OS(=O)(=O)C(F)(F)F,0000037102403DC06000000000000000000000000000000000000000000000000000000000000801040000000000000000100000000000020000000000700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,155.0,457.8653787,25.0,['LIB'],1
92269,C6H8BNO2,B(C1=CC(=CC=C1)N)(O)O,00000371C2623000000000000000000000000000000000000000300000000000000000010000281C0010080000080881100030C08040000080002442400082000020020008880000648808202280919180200060900008C8071000000000000000000000000000000000000000000000000000,66.5,137.0648087,10.0,['LIB'],0
123325,BKO2,B(=O)[O-].[K+],00000371020030000040000000000000000000000000000000000000000000000000000000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,40.1,81.9628409,4.0,"['ZIB', 'LIB']",1
4683197,C7H6BNO3,B(C1=CC2=C(C=C1)N=CO2)(O)O,000003718262300000000000000000000000000000016000000030000000000000005801F000281E0000080000080C81960634C6B2081440A801A473D4048288203F622008D821BF6CD80E26B2C4B5BB8D312864C41158E9879848000000000000000010000000000000002000000000000000,66.5,163.0440732,12.0,['LIB'],1
2734318,C6H6BBrO2,B(C1=CC(=CC=C1)Br)(O)O,000003718260300000100000000000000000000000000000000030000000000000000001000028180040080001A8008010003000800000008000204200000200002000040888000000A8082022801110802000208000088A170000000000000000000000000000000000000000000000000000,40.5,199.96442,10.0,['Other'],0
2734364,C7H9BO4S,B(C1=CC=C(C=C1)S(=O)(=O)C)(O)O,00000371C2603800400000000000000000000000000000000000300000000000000000010000281804000800000800805000B2018000000A800020420070420000200810088818000088082022A011108020002080000888070000000000000000000000000000000000000000000000000000,83.0,200.0314601,13.0,['LIB'],1
2734662,C7H9BO3,B(C1=CC(=CC=C1)CO)(O)O,00000371C2603000000000000000000000000000000000000000300000000000000000010000281A00000800000C00A0980230008000020080022042000002000020000008880000088808362280111080700024C00108980780C0200E00000000000000000000000000000000000000000000,60.7,152.0644743,11.0,['LIB'],0
3592790,C14H17BO2S2,B1(OC(C(O1)(C)C)(C)C)C2=CC=C(S2)C3=CC=CS3,00000371E270300060000000000000000000000000012244800000000000000000000001E000281A04000000000C4484D000B20180000008840020420000030080200810488818000088092022A011108020002080002888070080800880000000000000000000000000000000000000000000,74.9,292.0763023,19.0,['LIB'],1
156265,C8H5BF6O2,B(C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)(O)O,00000371827031C0000000000000000000000000000000000000300000000000000000010000281900000800000C008018103000800000008002204200000200002000000088000000880820228011108020002080000888070080400E00000200000000000000040000000000000000000000,40.5,258.0286785,17.0,['LIB'],1
5195177,C8H19BO2,B(CCCCCCCC)(O)O,00000371E27030000000000000000000000000000000000000000000000000000000000000002818000008000008008000000200000000000000000000000000000000000000000000000000020000000000000000000000010080800000000000000000000000000000000000000000000000,40.5,158.14781,11.0,"['LIB', 'LMB']",1
2783397,C5H5BFNO2,B(C1=CN=C(C=C1)F)(O)O,00000371826231000000000000000000000000000000000000002C0000000000000000018000281D00000800000800C1120C3C8092081000A0003067440082802031022008D8203864980820E2C09191842008608000C8C8061000000000000000000000000000000000000000000000000000,53.4,141.0397367,10.0,['LIB'],1
2734608,C12H12B2O4,B(C1=CC=C(C=C1)C2=CC=C(C=C2)B(O)O)(O)O,00000371C3703800000000000000000000000000000000000000306000000000000000014000281800000800000C008018003000800000008002204200000200002000000888000000880820228011108020002080000888070080C00E80000000000000000000000000000000000000000000,80.9,242.0921692,18.0,"['Other', 'LIB']",1
2773253,C13H13BO3,B(C1=CC=CC=C1OCC2=CC=CC=C2)(O)O,00000371C2703000000000000000000000000000000000000000306000000000000000014000281A00000800000C04A098023006800004008002204200000208002020000888000608880C262284311A823820A4C01108A80780C0200E00000000000000000000000000000000000000000000,49.7,228.0957744,17.0,['LIB'],0
10682603,C14H15BO4,B(C1=CC(=C(C=C1)OCC2=CC=CC=C2)OC)(O)O,00000371C2703800000000000000000000000000000000000000306000000000000000014000281A00000800000C04A098023206800004008002204200000208002020000888000688880D262284311A823822A4C0110AA80780C0200E00000000000040000000000000008000000000000000,58.9,258.1063391,19.0,"['Other', 'LIB']",0
142762599,C9H11BO3,B(O)(O)O/C=C/CC1=CC=CC=C1,00000371C2703000000000000000000000000000000000000000300000000000000000010000081A00000800000C00A098023000800000008002204200000200002020000888000000880820228011108020002080000888070080800E00000000000000000000000000000000000000000000,49.7,178.0801244,13.0,['LIB'],0
201262,C7H9BO3,B(C1=CC=C(C=C1)OC)(O)O,00000371C2603000000000000000000000000000000000000000300000000000000000010000281A000008000008048090023206800004008000204200000208002020000888000608880C262284311A80302024C01108A8078040000000000000000000000000000000000000000000000000,49.7,152.0644743,11.0,"['Other', 'MIB', 'LMB', 'LIB']",1
10219853,B4Na2O7,B1(OB2OB(OB(O1)O2)[O-])[O-].[Na+].[Na+],00000371038038300000000000000000000000000000000000002448000000001200000000000800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,92.3,201.9811616,13.0,"['MIB', 'ZIB', 'LIB', 'SIB', 'Other', 'LMB']",1
9798005,C14H15BF6O2,B1(OC(C(O1)(C)C)(C)C)C2=CC(=CC(=C2)C(F)(F)F)C(F)(F)F,00000371C27031C0000000000000000000000000000120000000300000000000000000010000281B00000000000C448098103200800000008002204200000200002000000088000000880920228011108020002080000888070080400E80000200000000000000040000000000000000000000,18.5,340.1069289,23.0,['LMB'],1
140138885,C6H4BF3O3,B(O)(O)OC1=CC(=C(C=C1F)F)F,0000037182603180000000000000000000000000000000000000300000000000000000010000081B0000080000080480900830068000000080002042000002000020200000880006088808262280101280300024C0110888078040000000000000000000000000000000000000000000000000,49.7,192.0205586,13.0,['Other'],0
21708183,C6H7BO4,B(O)(O)OC1=CC=CC(=C1)O,0000037182603800000000000000000000000000000000000000300000000000000000010000081A0000080000080480900030068000020080002042000002000020200008880006088808272282111280700025C0150898078060040000000008000000000000001000000000000000000000,69.9,154.0437389,11.0,['LIB'],1
94214,C7H14O6,CO[C@H]1[C@@H]([C@H]([C@H]([C@H](O1)CO)O)O)O,00000371C0603800000000000000000000000000000000000000240000000000000000000000001A00000800000814B08003020800000600000000000000000000000000000000000000111002000000224000050000070001C0600C0000000000000000000000000000000000000000000000,99.4,194.07903816,13.0,['Other'],0
5003684,C8H9BO2,B(C(=C)C1=CC=CC=C1)(O)O,00000371C2703000000000000000000000000000000000000000300000000000000000010000281800000800000C008018003000800000008002204200000200002000000888000000880820228011108020002080000888070080000E00000000000000000000000000000000000000000000,40.5,148.0695597,11.0,['LIB'],1
2734357,C4H5BO3,B(C1=CC=CO1)(O)O,0000037182603000000000000000000000000000000120000000000000000000000000018000281A00000800000800A090023004800004408800285280000208002420000888010608C80C261004250A0219208440110021800000000000000000000000000000000000000000000000000000,53.6,112.0331742,8.0,['LIB'],1
