epoch,mean_normalized_drift_rate,std_normalized_drift_rate_across_trials,smooth_mean_normalized_drift_rate,smooth_std_normalized_drift_rate,trial_1_normalized_drift_rate,trial_1_smooth_normalized_drift_rate,trial_2_normalized_drift_rate,trial_2_smooth_normalized_drift_rate,trial_3_normalized_drift_rate,trial_3_smooth_normalized_drift_rate,trial_4_normalized_drift_rate,trial_4_smooth_normalized_drift_rate,trial_5_normalized_drift_rate,trial_5_smooth_normalized_drift_rate,trial_6_normalized_drift_rate,trial_6_smooth_normalized_drift_rate,trial_7_normalized_drift_rate,trial_7_smooth_normalized_drift_rate,trial_8_normalized_drift_rate,trial_8_smooth_normalized_drift_rate,trial_9_normalized_drift_rate,trial_9_smooth_normalized_drift_rate,trial_10_normalized_drift_rate,trial_10_smooth_normalized_drift_rate
2,0.9275405,0.048478257,0.9666827246546745,0.05749027291312814,0.90566134,1.0364567,0.94129175,0.9724964,0.9596081,0.95401746,0.981195,1.0444841,0.9860116,0.9435801,0.98180133,0.97225964,0.8556725,0.96125805,0.9229665,0.9172458,0.8917249,0.99668103,0.84947205,0.86834776
3,0.9424685,0.047981393,0.9698880314826965,0.05623509859045347,0.9320229,1.0367653,0.95876014,0.9741179,0.9717694,0.95359486,1.0165716,1.0486184,0.9585329,0.94542515,0.97098625,0.97464436,0.8935151,0.97034764,0.902246,0.9198769,0.9776757,0.99899656,0.8426054,0.87649304
4,0.9606698,0.0585216,0.9728681206703186,0.05454053580760956,1.0510111,1.0357503,0.9679415,0.9757369,0.96413684,0.953393,1.0267106,1.0512924,0.9299243,0.94923985,0.96729386,0.9775474,0.91982955,0.97723913,0.9098431,0.92277694,1.0218999,1.0010802,0.8481071,0.88462496
5,0.9673687,0.063345045,0.9751592061736367,0.05259816043756225,1.0848006,1.0324165,0.97043735,0.97693336,0.95465606,0.9535187,1.0396297,1.0519851,0.9268763,0.9521469,0.96373963,0.9813884,0.9587628,0.9826008,0.90563524,0.9253463,1.0159817,1.0024974,0.85316753,0.8927584
6,0.9721506,0.06353886,0.9768063326676687,0.05064982843274871,1.0876497,1.026972,0.97866106,0.9782484,0.94582576,0.95357805,1.0565352,1.0512011,0.92767334,0.95535636,0.9585972,0.98413324,0.98093534,0.98683065,0.908346,0.9282831,1.0115098,1.0036644,0.865772,0.8997957
7,0.98247117,0.0631035,0.978186887044173,0.048945746886042446,1.0899388,1.021642,0.98421854,0.97921836,0.9501638,0.95383924,1.0740081,1.0491674,0.93709993,0.95864207,0.9647134,0.9879547,1.0104127,0.9902285,0.92671615,0.930818,1.0129254,1.004237,0.8745142,0.9061215
8,0.9878214,0.0623072,0.9792357172284808,0.047618547188384194,1.0848526,1.0155699,0.98612875,0.97995126,0.94474703,0.9545712,1.0806738,1.0468762,0.9296731,0.96176136,0.97590417,0.9911324,1.0309737,0.99289995,0.9271156,0.9324491,1.0231173,1.004433,0.89502794,0.91271245
9,0.99297106,0.052646335,0.9801031192143758,0.046454675123095514,1.0557166,1.0097008,0.99253196,0.9803442,0.94123256,0.9555896,1.0805488,1.0443735,0.9528494,0.96450007,0.9950413,0.9928434,1.0399626,0.99514157,0.93509775,0.93407714,1.0186138,1.0047567,0.9181157,0.919704
10,0.9955305,0.046193704,0.9846590518951416,0.04515078427890937,1.0392343,1.0121437,0.98709005,0.98346794,0.9502143,0.9567035,1.0816928,1.0452504,0.9601853,0.96587336,0.9937224,0.99514043,1.0430644,1.0064652,0.9409255,0.9363752,1.0175208,1.0128131,0.94165546,0.93235725
11,0.9996889,0.03928947,0.9884612838427226,0.04358009658753872,1.0266147,1.0142455,0.9903081,0.9858883,0.95157605,0.9572792,1.0753583,1.0421287,0.9835722,0.969357,1.0036744,0.997843,1.0392628,1.0150108,0.9488778,0.94178665,1.0198326,1.0151181,0.9578121,0.9459551
12,0.99807006,0.033174407,0.9911933263142904,0.04140194430947304,0.9990786,1.0094366,0.9888975,0.9881319,0.95477575,0.9587291,1.0589125,1.0371931,0.9812172,0.97469133,1.0197985,1.0014353,1.0362176,1.0216358,0.95103973,0.947178,1.01667,1.0138882,0.97409356,0.95961356
13,0.9949247,0.029218176,0.9937379201253255,0.03917547749976317,0.9670841,1.0029373,0.9927144,0.99124473,0.9542307,0.96144414,1.0425771,1.0301741,0.99066097,0.9806219,1.0143262,1.0049158,1.033359,1.0248011,0.9605878,0.9543767,1.0165001,1.0134159,0.97720575,0.973447
14,0.99475354,0.028496768,0.996366027990977,0.03745845022300879,0.9576801,0.9967894,0.9908574,0.9942716,0.956974,0.96545255,1.0247618,1.0209194,0.9980703,0.98709494,1.0338119,1.0082504,1.0310023,1.0262028,0.96123743,0.9641175,1.0111094,1.0138247,0.98203033,0.9867368
15,0.9928705,0.030364951,0.9983946402867635,0.036147072538733484,0.936633,0.9911582,0.9894788,0.99765974,0.9640865,0.9693455,1.0170921,1.0096774,1.0023123,0.99281013,1.0324426,1.0108503,1.0276293,1.0254214,0.95365286,0.97366846,1.0069815,1.0136855,0.99839544,0.9996694
16,0.99224675,0.030160466,1.000407604376475,0.03509264426926772,0.9275328,0.9856197,0.9858452,1.0010221,0.96984726,0.9749796,1.0093355,0.9979965,1.0028417,0.9993213,1.0167973,1.0134225,1.0265236,1.0231855,0.9568695,0.98395264,1.0092883,1.0127163,1.0175854,1.0118597
17,0.9958795,0.028919894,1.0026265263557435,0.03458998737235864,0.9423062,0.98180604,0.9881481,1.0037786,0.976316,0.9817231,0.99434775,0.98827887,1.0066116,1.0050423,1.0162575,1.014237,1.0255275,1.0205579,0.9574376,0.9945288,1.0125704,1.0125083,1.0392712,1.0238043
18,0.999502,0.024421077,1.0050570527712503,0.03424160021046797,0.9635487,0.97902113,0.9950658,1.0066473,0.98040587,0.9892058,0.9697465,0.98134255,1.0107875,1.0102774,1.0115249,1.0150834,1.021699,1.0177712,0.98341787,1.004671,1.0122511,1.011717,1.0465728,1.0348336
19,1.0016505,0.025849314,1.0073442935943604,0.03452294506132603,0.9788789,0.9774588,1.0015954,1.0091277,0.9858843,0.9971896,0.9526755,0.9749223,1.0099388,1.0140029,1.0211785,1.0158286,1.0192044,1.015304,0.9907135,1.0152509,1.0034509,1.0097967,1.0529844,1.0445613
20,1.0055376,0.029948043,1.0096259872118631,0.035363929346203804,0.987311,0.97744787,1.0171303,1.0115454,0.9953822,1.0052484,0.9343459,0.9695709,1.0158342,1.0181946,1.0159469,1.0154358,1.0062431,1.0127326,1.0136154,1.0258936,1.0088978,1.0073142,1.0606688,1.0528764
21,1.0115722,0.037783448,1.0121201276779175,0.03675717736283938,0.99543023,0.9794204,1.0240633,1.0138072,1.005952,1.0141947,0.91771543,0.9647966,1.0247694,1.0224978,1.008615,1.0146309,1.0019593,1.0106324,1.0544584,1.0359538,1.0176415,1.0042573,1.0651188,1.06101
22,1.0129004,0.04343283,1.0146054784456888,0.03851710160573323,1.0054713,0.9819796,1.0350406,1.0157595,1.0085584,1.0239493,0.9053781,0.96112436,1.022828,1.0266984,1.0037137,1.011584,0.99869317,1.0086387,1.0699804,1.0463809,1.0108368,1.0012338,1.068503,1.0687063
23,1.0180159,0.046490777,1.0172696908315022,0.0402756292372942,1.0017753,0.9858099,1.0365653,1.0175865,1.0292574,1.0343485,0.90545976,0.95789975,1.0273408,1.0309703,1.0144866,1.0088829,0.9974347,1.0067192,1.0813781,1.0567977,1.0085785,0.9983923,1.0778824,1.0752896
24,1.0262549,0.04510648,1.0198968410491944,0.04188004160920779,0.9985111,0.99029917,1.0338778,1.0196558,1.0423858,1.0444103,0.9347835,0.95562625,1.0386637,1.0355,1.0072591,1.0071564,1.000549,1.0048585,1.0937394,1.0659227,1.015494,0.9952432,1.0972854,1.080296
25,1.0319884,0.040967897,1.022265096505483,0.04357954462369283,0.9974611,0.99393415,1.0301218,1.0211722,1.0624541,1.0549335,0.9776483,0.95495766,1.0387113,1.0393863,1.0064179,1.0059855,1.0012646,1.0026693,1.093059,1.0744805,1.0056523,0.9916043,1.107094,1.0835276
26,1.0339975,0.043509644,1.0245561838150024,0.04585346579551697,1.0031791,0.9958619,1.0275143,1.0223373,1.0713332,1.066289,0.9790547,0.9561763,1.0394557,1.0442204,1.0148532,1.0054213,1.0022537,1.0003433,1.1075767,1.0808587,0.99102813,0.9878986,1.1037269,1.086155
27,1.0322955,0.04578917,1.0268455743789673,0.04824693414072196,0.99891484,0.99708587,1.0251623,1.0224,1.075659,1.0781792,0.97864133,0.9591365,1.0440924,1.0507532,1.0139059,1.0041766,0.99764615,0.9978955,1.11068,1.085733,0.97943246,0.98507965,1.0988208,1.0880164
28,1.0323368,0.050116897,1.0285803476969402,0.05048789729674657,0.996673,0.9974394,1.0266412,1.0214186,1.0884258,1.0898223,0.97096324,0.9631318,1.0552084,1.0575807,1.0022526,1.0023141,1.0018567,0.9963358,1.1114899,1.087913,0.9706471,0.9819924,1.0992095,1.0878555
29,1.0320338,0.054895632,1.0297392845153808,0.05205214793483416,0.996068,0.9974344,1.020141,1.0199797,1.1032906,1.099891,0.96967757,0.9681112,1.0610787,1.0645444,0.9881095,1.0012243,1.0010973,0.9949609,1.1176443,1.086906,0.9657562,0.9784587,1.0974754,1.0858825
30,1.0328337,0.056742866,1.0306593418121337,0.053401606529951094,0.9940872,0.99598116,1.0168852,1.017701,1.1200755,1.109256,0.968723,0.9736248,1.0663921,1.0729252,0.9919248,0.9997657,0.998837,0.99410796,1.1099069,1.0845782,0.964359,0.97589475,1.0971457,1.0827588
31,1.031654,0.05422665,1.0313559214274088,0.054565414786338806,0.9948711,0.99439085,1.016884,1.0147233,1.1207746,1.117515,0.975233,0.97919685,1.0707885,1.081448,0.9909002,0.99827445,0.99861115,0.9938412,1.0937444,1.08087,0.96205133,0.975496,1.0926818,1.0778037
32,1.0314033,0.05441244,1.0315205256144206,0.05602901106079419,0.99683124,0.9928795,1.0108933,1.01183,1.1341642,1.124645,0.9843192,0.98299724,1.0649048,1.0902811,0.9986941,0.997352,0.9926916,0.99302995,1.0858047,1.0763285,0.9579873,0.97482675,1.087744,1.0710351
33,1.0338683,0.058529895,1.0313546895980834,0.057574756691853204,0.9924653,0.9912315,1.012544,1.0091227,1.150738,1.1297203,0.9880254,0.9844947,1.0832996,1.0988697,1.0030618,0.9959077,0.9868083,0.9920736,1.0790888,1.0720593,0.9566659,0.9758952,1.0859855,1.0641724
34,1.0359913,0.06175134,1.031092604001363,0.059073266386985776,0.9972381,0.98839533,1.0025357,1.0060664,1.164237,1.1342558,0.9970788,0.9856724,1.1079305,1.1075387,1.0025078,0.9942616,0.9824861,0.99092597,1.0638298,1.0670108,0.9611665,0.9786073,1.0809035,1.0581919
35,1.0315592,0.06356249,1.0313596963882445,0.060635650902986525,0.992614,0.98536265,1.0024086,1.0036631,1.1700294,1.1384832,0.99427533,0.9879395,1.1182469,1.1170169,0.98800987,0.9923537,0.9828484,0.99028534,1.046314,1.0627092,0.962589,0.98263717,1.0582556,1.0531465
36,1.0289563,0.061247207,1.0315752267837524,0.0617369902630647,0.995355,0.9822813,1.0024799,1.0016031,1.1569813,1.1414671,0.9924073,0.99150807,1.1292244,1.1251861,0.99226636,0.99109143,0.9813356,0.98916906,1.0393531,1.0580432,0.964636,0.9876419,1.0355245,1.0477611
37,1.0267012,0.06367471,1.0316715081532797,0.06254531666636468,0.98367345,0.9787836,1.0008608,1.0009977,1.1490337,1.1435138,0.98808163,0.99543095,1.1485395,1.1325239,0.9818356,0.99001986,0.9858991,0.9880232,1.035064,1.0532681,0.97237736,0.9925779,1.021647,1.0415761
38,1.0284646,0.0639479,1.0316346645355225,0.06312957952419916,0.97791994,0.9760324,0.9919,1.0006369,1.1531428,1.1438526,0.9890406,0.99936277,1.1551828,1.1395777,0.9921175,0.98881686,0.9934333,0.9870426,1.0257558,1.0496049,1.0025971,0.9969065,1.0035565,1.0345135
39,1.028724,0.067060426,1.0317625363667806,0.06381396452585857,0.97584164,0.97339034,0.9904781,1.0002921,1.1493363,1.1439832,0.9917887,1.0027735,1.1711617,1.1461929,0.9934229,0.9875663,0.9883803,0.9864368,1.025617,1.0479083,1.0054553,1.0009267,0.9957572,1.0281553
40,1.0295008,0.06415408,1.0316438357035318,0.06455235282580057,0.9727404,0.97112656,0.98951226,1.0004058,1.1385835,1.1430975,1.0001103,1.0049264,1.1675383,1.1530637,0.9847538,0.9855446,0.98691964,0.98594147,1.0290191,1.0469298,1.0216796,1.004663,1.0041516,1.0207396
41,1.0300663,0.06598729,1.0315024296442667,0.06504779582222303,0.9606368,0.9690885,0.98167056,1.0008845,1.1393648,1.1414304,0.9967208,1.0069246,1.1694912,1.1586031,0.9901619,0.9831304,0.9850385,0.9859949,1.031849,1.0469959,1.0317097,1.0079652,1.0140198,1.014007
42,1.0363019,0.06922494,1.0313256820042929,0.06542348265647888,0.953425,0.9668745,0.9891106,1.0018351,1.1390692,1.1393254,1.0126469,1.0078635,1.1862664,1.1622859,0.98528636,0.9807066,0.9880368,0.98593175,1.0461575,1.0491033,1.0398798,1.0105909,1.0231395,1.0087398
43,1.0355698,0.06663699,1.031690287590027,0.06567657093207041,0.95045257,0.9650268,0.9957427,1.0029569,1.1331859,1.1369596,1.0244921,1.0088931,1.1777462,1.1653857,0.98331916,0.97948503,0.9851127,0.9861707,1.0414994,1.0527993,1.0457181,1.0126712,1.0184289,1.0065545
44,1.033478,0.06702053,1.032221825917562,0.06605566491683325,0.94360226,0.9633798,1.0110593,1.0042899,1.1339908,1.1349771,1.0285211,1.0095146,1.171146,1.1679524,0.9720355,0.97767913,0.98390996,0.98630905,1.0460169,1.0568919,1.0397968,1.0148268,1.0047019,1.0063976
45,1.032281,0.06550681,1.0326817671457926,0.06614336172739664,0.9528185,0.9626975,1.0114737,1.0057172,1.1251575,1.1310034,1.0277,1.0091622,1.1721998,1.1690795,0.97388035,0.97681886,0.98412764,0.985892,1.0549595,1.0625974,1.0292883,1.0171728,0.9912051,1.0066767
46,1.0335721,0.06449243,1.0327682097752888,0.06657343705495199,0.9552408,0.96168524,1.0117115,1.0077957,1.1227348,1.1253291,1.0263942,1.0079923,1.1700159,1.1707864,0.97214115,0.9750218,0.98952335,0.98508143,1.0682956,1.0694362,1.022355,1.0168943,0.99730897,1.0076594
47,1.0296228,0.065488264,1.0327784617741902,0.06710131615400314,0.9628746,0.96113366,1.0125988,1.0102124,1.120877,1.1193305,1.0166135,1.0066068,1.167965,1.1721805,0.96836966,0.97266763,0.98526263,0.98407984,1.0711278,1.0768747,1.0140312,1.0159098,0.9765069,1.0087886
48,1.0317472,0.06596154,1.0329297224680583,0.06783181379238765,0.961894,0.96062607,1.0197256,1.0128695,1.1257316,1.1149145,1.0179982,1.0063283,1.1663905,1.1737326,0.9668477,0.9710987,0.98760927,0.9835585,1.0800788,1.084474,1.0061985,1.0131704,0.98499745,1.0085244
49,1.0333401,0.06738664,1.0330517689387004,0.0679796556631724,0.9640286,0.96098834,1.0167946,1.0163667,1.1326624,1.1116382,1.0111617,1.007194,1.1631743,1.1724888,0.96615106,0.9695867,0.98153865,0.98357725,1.0954411,1.0921291,1.0005527,1.0095115,1.0018959,1.0070368
50,1.0370283,0.067358814,1.0327619791030884,0.067636006573836,0.9648987,0.96176904,1.0192345,1.0198035,1.1345408,1.1079421,1.00972,1.0090307,1.164744,1.1684135,0.96968675,0.9682432,0.98643285,0.983189,1.1017556,1.0989629,0.9937939,1.0057266,1.0254766,1.0045391
51,1.0369294,0.06693362,1.032424020767212,0.06751020650068919,0.9706495,0.96239114,1.0224755,1.0228384,1.1272461,1.1050135,1.0017287,1.0102539,1.167725,1.1645801,0.9651774,0.9665958,0.9834113,0.9828644,1.1007408,1.1058627,0.9969681,1.0015672,1.0331705,1.0022731
52,1.0336003,0.06499016,1.0323539574940999,0.06740989536046982,0.9734397,0.9634187,1.0222698,1.0251092,1.0894276,1.1029632,0.9827969,1.0111023,1.1654466,1.1610745,0.9689313,0.96563214,0.97964287,0.9820184,1.1206461,1.1123292,1.0075691,0.9989335,1.0258335,1.0009583
53,1.0297612,0.07039903,1.032411313056946,0.06735219756762187,0.96273583,0.9644014,1.0230788,1.0272515,1.068029,1.1011338,0.97149146,1.0117931,1.1807851,1.1575959,0.96516204,0.9643187,0.9812748,0.9809581,1.1283385,1.118319,0.9984192,0.99774563,1.0182979,1.0005959
54,1.0288777,0.07497861,1.0326039393742878,0.06757462322711945,0.96756786,0.96485865,1.0267274,1.0296167,1.0593572,1.0997735,0.97100735,1.0126091,1.192073,1.1551546,0.9581107,0.96305156,0.9733563,0.9799007,1.1371952,1.1236466,0.990687,0.9979492,1.0126941,0.9994787
55,1.0317698,0.075111546,1.0333009799321493,0.06803295910358428,0.9651262,0.9641875,1.029369,1.0320531,1.0723441,1.0991273,0.99593246,1.0143484,1.190821,1.1544261,0.9612194,0.9621556,0.97909933,0.9795522,1.1430085,1.1286745,0.9805887,0.9987268,1.0001892,0.9997583
56,1.031897,0.06820492,1.0338807026545207,0.0683469906449318,0.96607125,0.96365654,1.0341299,1.0338312,1.0902195,1.0977676,1.0097054,1.0158814,1.150834,1.1540782,0.9674816,0.96205693,0.98532015,0.97896546,1.1466757,1.1328734,0.97682494,1.0001997,0.99170643,0.9994966
57,1.031955,0.0640702,1.0343138615290324,0.06846412420272827,0.965135,0.96295357,1.0406619,1.0353869,1.0836282,1.0960864,1.0401975,1.0178372,1.125136,1.153358,0.9651342,0.9619025,0.9822126,0.9795743,1.1486645,1.1361026,0.9831075,1.002122,0.98567414,0.9978152
58,1.0305004,0.064749986,1.0344320058822631,0.06850227415561676,0.9597844,0.9620964,1.0412655,1.0370841,1.0892566,1.0942069,1.0428394,1.0198544,1.1202449,1.1521702,0.9586085,0.9615348,0.9802439,0.9800151,1.1449956,1.1386278,0.98332715,1.0044469,0.9844381,0.9942835
59,1.0324271,0.06551586,1.0343067169189453,0.06832021872202555,0.9590157,0.96092975,1.045121,1.0387022,1.1032358,1.092176,1.041248,1.0220217,1.1185617,1.150611,0.9575807,0.9619745,0.9712203,0.98045516,1.1430161,1.1400336,1.0002913,1.0064667,0.98498064,0.98969644
60,1.0331414,0.06464134,1.0342716375986736,0.06837476839621862,0.9675597,0.95925814,1.0436078,1.0409889,1.0977174,1.0921988,1.0380627,1.0253614,1.1200212,1.1490793,0.9541779,0.9613517,0.96822363,0.9809699,1.144805,1.1401527,1.0114707,1.007843,0.9857682,0.9855126
61,1.0364615,0.06782881,1.0347180922826131,0.06800117293993632,0.9620987,0.95838964,1.047191,1.0433047,1.1023299,1.0937041,1.0386344,1.0296245,1.1333957,1.146904,0.95313466,0.9618827,0.9736621,0.98181355,1.1482097,1.1397325,1.0254079,1.0100098,0.9805512,0.9818155
62,1.0400784,0.0723633,1.035326361656189,0.0676276425520579,0.952807,0.9571729,1.0491445,1.045274,1.1111827,1.0968183,1.0427015,1.0330704,1.1570393,1.1447996,0.95493007,0.963059,0.9800353,0.983347,1.1465467,1.1389784,1.0256954,1.0126871,0.98070115,0.97805697
63,1.0404431,0.07067201,1.0356515248616536,0.06733907361825307,0.9539296,0.9558944,1.0463969,1.0466998,1.1053367,1.0993795,1.0409943,1.0342519,1.1611713,1.1428072,0.96536773,0.9641481,0.97880816,0.9842528,1.1430622,1.1380023,1.0282916,1.0158856,0.9810714,0.9751936
64,1.0398375,0.069143645,1.0358002424240111,0.06756060073773067,0.95348454,0.9541236,1.0401309,1.047839,1.1074439,1.0998815,1.0404978,1.0343454,1.1523703,1.1439682,0.9638347,0.9647222,0.990671,0.98513705,1.1438776,1.1364216,1.0293882,1.0190063,0.976675,0.97255754
65,1.0388005,0.06793106,1.0355637629826864,0.06805138985315959,0.9520409,0.9526309,1.0446923,1.0483282,1.1063484,1.0994482,1.0399795,1.0316387,1.1469269,1.1472437,0.9641714,0.96510273,0.99304515,0.98629147,1.1396345,1.1343284,1.0286655,1.0204891,0.9725006,0.9701363
66,1.03505,0.064202785,1.0350812594095866,0.06850499411424,0.95314986,0.9512969,1.0467469,1.0485723,1.0967826,1.0978216,1.0342369,1.0279942,1.1443393,1.1509658,0.97177243,0.96589315,0.99001205,0.98762393,1.1218276,1.1318836,1.0272673,1.0212253,0.96436477,0.9675358
67,1.0330741,0.06580841,1.0346339464187622,0.06882493992646535,0.9483651,0.95089775,1.0565699,1.0478647,1.0897701,1.0965372,1.032893,1.025178,1.1424705,1.1546403,0.9595891,0.96674275,0.9873639,0.98960656,1.1224325,1.1293955,1.0282122,1.0207995,0.96307594,0.96467704
68,1.036458,0.0647951,1.0342909653981527,0.06928296635548274,0.94970894,0.9506143,1.0578163,1.0470742,1.0906087,1.0958679,1.0354373,1.0230697,1.1481547,1.1590737,0.97312725,0.9679092,0.99392915,0.9920213,1.1220354,1.1262071,1.0309201,1.0195713,0.9628419,0.9615008
69,1.0380018,0.06937566,1.033778190612793,0.06949433535337449,0.94931585,0.9513737,1.056266,1.0458032,1.1060705,1.0948784,1.0226965,1.0214747,1.1605073,1.1625009,0.97575545,0.96891356,0.99635834,0.99402684,1.1258836,1.1229157,1.0308485,1.0174897,0.9563154,0.9584049
70,1.0366472,0.07078301,1.0327241579691568,0.0693305308620135,0.94594985,0.9528208,1.0507563,1.0439855,1.1107616,1.0920361,1.0136545,1.0194138,1.1609356,1.1644158,0.9775555,0.9698359,0.99268645,0.9951477,1.1283684,1.1193308,1.0285658,1.015076,0.9572395,0.95517904
71,1.0341277,0.071527824,1.031550391515096,0.06910946915547053,0.9395092,0.95436835,1.0512191,1.0425301,1.0977507,1.0888767,1.011107,1.0178686,1.1682491,1.1656303,0.9760936,0.97006404,0.9985836,0.9964187,1.122964,1.1154541,1.023635,1.0127357,0.95216554,0.95155704
72,1.0284078,0.07143204,1.0304310083389283,0.06904891530672709,0.9427436,0.9565519,1.0479987,1.0411015,1.0771266,1.0846832,0.99959856,1.0169474,1.1742673,1.1674854,0.97084165,0.9695809,0.9995292,0.9973035,1.1172667,1.1120609,1.0053496,1.0104725,0.94935524,0.9481228
73,1.0232629,0.07155405,1.0293341239293416,0.06902595609426498,0.93977517,0.95891273,1.0449263,1.0396726,1.0648588,1.0793473,0.98816997,1.0156016,1.176077,1.1698799,0.97046494,0.9695537,1.0002303,0.9982482,1.1083252,1.1086503,0.99437004,1.0087909,0.94543034,0.94468397
74,1.0257174,0.07031505,1.0282742341359457,0.0693099762002627,0.9530285,0.9615459,1.0345081,1.0381842,1.0839703,1.0732868,0.9990059,1.01383,1.1736796,1.1726532,0.970325,0.9695831,1.00096,0.99916375,1.105693,1.1064935,0.99390393,1.0062377,0.9420995,0.94176424
