similarity_rank,x,x_label,_cid_key,assigned_prototype,assigned_prototype_label,max_prototype_similarity,_recommend_original_order,sim_to_NP1,sim_to_NP2,sim_to_NP3,sim_to_NP4,sim_to_NP5,sim_to_NP6,sim_to_NP7
1,1,11522786,11522786,2,NP2,0.83243436,39,0.009838872,0.83243436,0.050702415,-0.014296664,-0.2810226,-0.17264874,-0.01836284
2,2,15158954,15158954,2,NP2,0.8277093,64,0.015224416,0.8277093,0.039795138,-0.009746623,-0.2766145,-0.14163163,-0.036147673
3,3,22663171,22663171,2,NP2,0.82762283,31,0.026956057,0.82762283,0.035155606,0.045611676,-0.33814746,-0.13210508,-0.035841376
4,4,68979,68979,1,NP1,0.82177204,11,0.82177204,0.025345009,0.03956887,-0.10796984,-0.28863746,-0.11572292,-0.035913132
5,5,66709077,66709077,2,NP2,0.82168984,33,0.005507955,0.82168984,0.008636617,0.04658676,-0.29089978,-0.09084628,-0.06171836
6,6,11050988,11050988,6,NP6,0.81985205,48,-0.22330566,-0.23023114,-0.30631188,-0.17692624,0.11827585,0.81985205,-0.33038878
7,7,138247,138247,1,NP1,0.819822,13,0.819822,0.019620474,0.029609088,-0.11312136,-0.26266286,-0.12322269,-0.044369474
8,8,10876447,10876447,6,NP6,0.8165456,27,-0.21999404,-0.22698103,-0.30300537,-0.18368998,0.11374641,0.8165456,-0.32341447
9,9,78020,78020,1,NP1,0.8143486,22,0.8143486,0.0062999665,0.03324189,-0.079417214,-0.28405073,-0.084481865,-0.047872867
10,10,71390453,71390453,1,NP1,0.8121702,19,0.8121702,-0.025850458,0.05292756,-0.16939436,-0.26671037,-0.1850279,0.011789729
11,11,11090867,11090867,1,NP1,0.81146127,34,0.81146127,-0.012759133,0.034211457,-0.1225123,-0.2604591,-0.11270222,-0.040336806
12,12,12159360,12159360,6,NP6,0.8109764,53,-0.2125918,-0.21465228,-0.2904152,-0.17902969,0.10098389,0.8109764,-0.3186142
13,13,582056,582056,6,NP6,0.81005937,62,-0.21253854,-0.21443161,-0.28972113,-0.18029745,0.09993821,0.81005937,-0.31530058
14,14,10959856,10959856,6,NP6,0.8088399,77,-0.21038212,-0.2149513,-0.2879817,-0.17849696,0.09717194,0.8088399,-0.31301
15,15,4438527,4438527,6,NP6,0.8084469,54,-0.21004215,-0.21284857,-0.28716627,-0.17787835,0.09586864,0.8084469,-0.3150616
16,16,71428744,71428744,6,NP6,0.808264,16,-0.2111309,-0.21018377,-0.28620252,-0.1809621,0.09661711,0.808264,-0.31267977
17,17,25068199,25068199,1,NP1,0.8071502,49,0.8071502,-0.013902567,0.029763117,-0.1021494,-0.25243467,-0.10303772,-0.061016664
18,18,23115783,23115783,3,NP3,0.80706763,50,0.06755535,0.042800095,0.80706763,-0.16007702,-0.25805914,-0.21059299,-0.019402103
19,19,71420187,71420187,6,NP6,0.8070155,5,-0.21837695,-0.22248904,-0.27061403,-0.17197606,0.09538452,0.8070155,-0.30451444
20,20,11115716,11115716,6,NP6,0.8066543,36,-0.2073789,-0.20760663,-0.28533316,-0.17706726,0.09229512,0.8066543,-0.31299117
21,21,18329245,18329245,6,NP6,0.8066335,30,-0.21484165,-0.20544039,-0.28242072,-0.17344862,0.091286115,0.8066335,-0.3113482
22,22,57041839,57041839,1,NP1,0.80600876,41,0.80600876,-0.03113537,0.04817861,-0.16556872,-0.25500876,-0.191763,0.005944226
23,23,11727684,11727684,6,NP6,0.8056677,9,-0.20712128,-0.20385848,-0.2839054,-0.17198756,0.08912805,0.8056677,-0.31397423
24,24,71447200,71447200,6,NP6,0.8052476,32,-0.21108285,-0.20079362,-0.2798139,-0.17295271,0.088059336,0.8052476,-0.31108022
25,25,11327649,11327649,6,NP6,0.80516845,69,-0.21235548,-0.21330026,-0.2811593,-0.18211617,0.09153543,0.80516845,-0.30952102
26,26,13789232,13789232,1,NP1,0.8051367,25,0.8051367,0.06196086,0.19602929,-0.2456863,-0.4369238,-0.29198852,0.20956925
27,27,22338812,22338812,1,NP1,0.8051332,3,0.8051332,0.008170412,0.029911697,-0.15410343,-0.2988557,-0.070699826,-0.037018787
28,28,425307,425307,1,NP1,0.80499405,8,0.80499405,-0.022534622,0.026970515,-0.16560267,-0.20729181,-0.13484414,-0.04418635
29,29,2736203,2736203,6,NP6,0.80484116,2,-0.20187286,-0.20297216,-0.2883137,-0.15367623,0.08348346,0.80484116,-0.32322618
30,30,75360847,75360847,6,NP6,0.804656,29,-0.20329326,-0.2015835,-0.28398943,-0.14256972,0.080827706,0.804656,-0.32212037
31,31,15520532,15520532,6,NP6,0.8046157,44,-0.2010303,-0.2054165,-0.28376678,-0.17544702,0.088125035,0.8046157,-0.31080663
32,32,15605783,15605783,6,NP6,0.8044784,43,-0.199747,-0.2125199,-0.29057273,-0.16432638,0.08698343,0.8044784,-0.31338504
33,33,54472851,54472851,6,NP6,0.8043332,47,-0.20734183,-0.20109631,-0.28230336,-0.15749718,0.08309265,0.8043332,-0.31543827
34,34,71350376,71350376,6,NP6,0.80394095,18,-0.21128821,-0.21568516,-0.28054196,-0.18767743,0.091757484,0.80394095,-0.30551296
35,35,517955,517955,1,NP1,0.80289143,67,0.80289143,-0.01445186,0.010702183,-0.09106358,-0.21555208,-0.16816609,-0.035582434
36,36,52915087,52915087,6,NP6,0.80188894,57,-0.18449624,-0.21126862,-0.28736815,-0.13743451,0.076677606,0.80188894,-0.32630086
37,37,12626668,12626668,6,NP6,0.80061734,52,-0.19029498,-0.20154685,-0.2779794,-0.16575427,0.07818176,0.80061734,-0.30907992
38,38,15887311,15887311,6,NP6,0.797373,65,-0.19241703,-0.19490497,-0.2734379,-0.16557942,0.07226531,0.797373,-0.30565232
39,39,12418354,12418354,1,NP1,0.7973033,42,0.7973033,-0.040877644,0.07001129,-0.17710021,-0.25003532,-0.22757213,0.033559337
40,40,4121732,4121732,6,NP6,0.79679537,24,-0.15707222,-0.30865338,-0.31715995,-0.17433982,0.1499633,0.79679537,-0.38747203
41,41,18373965,18373965,6,NP6,0.7956427,6,-0.17832924,-0.19515415,-0.27923915,-0.1534034,0.06691978,0.7956427,-0.3086216
42,42,3599767,3599767,6,NP6,0.7924919,20,-0.16529627,-0.19087687,-0.27844188,-0.11803224,0.055901058,0.7924919,-0.31795022
43,43,15877487,15877487,1,NP1,0.7923679,26,0.7923679,0.103945695,0.17682128,-0.24727166,-0.38584572,-0.32056388,0.15195423
44,44,25112575,25112575,3,NP3,0.7904896,45,0.05361046,0.014269345,0.7904896,-0.21114212,-0.2308733,-0.20171107,-0.017447714
45,45,22722373,22722373,6,NP6,0.7892118,51,-0.22335224,-0.21603777,-0.25857842,-0.20372635,0.07589645,0.7892118,-0.28259817
46,46,58489416,58489416,3,NP3,0.78825617,35,0.047723643,0.014093167,0.78825617,-0.19844158,-0.24217354,-0.18267064,-0.01757213
47,47,144241,144241,6,NP6,0.78481096,55,-0.14098646,-0.19640361,-0.2776422,-0.1460722,0.04945047,0.78481096,-0.3124605
48,48,58050304,58050304,3,NP3,0.78383,0,0.03848269,0.0054847286,0.78383,-0.21046406,-0.22234567,-0.20162728,-0.013829724
49,49,4072412,4072412,6,NP6,0.78145653,17,-0.103709966,-0.29820955,-0.30368295,-0.18781987,0.12448334,0.78145653,-0.37798065
50,50,71384845,71384845,5,NP5,0.7499092,66,-0.44768274,-0.5192916,-0.3820463,-0.24379808,0.7499092,0.027352192,-0.21080099
51,51,122587,122587,5,NP5,0.74952817,63,-0.4245366,-0.53329736,-0.36805016,-0.31710798,0.74952817,0.063559376,-0.21907532
52,52,71346374,71346374,5,NP5,0.7494205,23,-0.40310907,-0.5657559,-0.3768328,-0.3079538,0.7494205,0.068316035,-0.22983006
53,53,108841,108841,5,NP5,0.7489742,59,-0.453499,-0.53876215,-0.38791507,-0.23436633,0.7489742,0.036311455,-0.21393959
54,54,219443,219443,5,NP5,0.748165,73,-0.42584792,-0.5146949,-0.36367443,-0.2805981,0.748165,0.04225349,-0.21006975
55,55,71384846,71384846,5,NP5,0.7469909,68,-0.4493913,-0.52330816,-0.38079998,-0.24363749,0.7469909,0.027079374,-0.20607027
56,56,21424,21424,5,NP5,0.7407378,46,-0.40211877,-0.5204838,-0.35432386,-0.29126397,0.7407378,0.037443984,-0.2057218
57,57,13680388,13680388,5,NP5,0.7400968,40,-0.42284825,-0.52197874,-0.36162698,-0.2999754,0.7400968,0.038848855,-0.19437066
58,58,71334465,71334465,5,NP5,0.73744935,58,-0.4578751,-0.53713423,-0.38177216,-0.21061108,0.73744935,0.020476615,-0.20334804
59,59,352104,352104,5,NP5,0.7332117,37,-0.47556406,-0.5419354,-0.39150855,-0.12667114,0.7332117,0.020268999,-0.21376672
60,60,71386315,71386315,5,NP5,0.7300816,61,-0.45701566,-0.5265123,-0.3800854,-0.19105634,0.7300816,0.0051055597,-0.19521044
61,61,17177,17177,5,NP5,0.7240414,56,-0.39046335,-0.5095167,-0.35476258,-0.24665338,0.7240414,-0.0090418495,-0.18309963
62,62,21425,21425,5,NP5,0.7137601,75,-0.4378493,-0.53264624,-0.37757418,-0.2629725,0.7137601,0.016143305,-0.18751912
